movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.620039 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.620282 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.620476 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.620767 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.620961 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.621301 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.621495 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.62169 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.621932 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.622223 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.622418 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.622612 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.622952 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.623146 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.623437 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.623728 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.623874 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.624165 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.624408 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.624602 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.624893 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.625087 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.625427 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.625621 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.625815 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.626058 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.626349 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.626543 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.626737 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.627077 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.627272 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.627563 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.627854 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.628 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.628291 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.628533 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.628728 | angle to goal: 1.570796
